Year,Avg_Tmean,Total_Rainfall_Heathrow,Avg_Tmax,Total_Rainfall_MetOffice,Rainfall_Diff
1979,9.986575342465754,684.7,11.691450777202071,29639.8,-28955.1
1980,10.370491803278687,588.1,12.300516795865631,28958.7,-28370.600000000002
1981,10.32,679.6,12.197650130548302,28328.3,-27648.7
1982,10.99890410958904,649.8,12.913020833333334,29114.9,-28465.100000000002
1983,11.237260273972604,535.0,12.788203753351208,25171.4,-24636.4
1984,10.942349726775957,641.7,12.857329842931938,26546.8,-25905.1
1985,10.095890410958903,526.3,11.848924731182796,25558.7,-25032.4
1986,9.998356164383562,637.0,11.914432989690722,28908.8,-28271.8
1987,10.328296703296704,653.4,12.106234413965089,28244.3,-27590.899999999998
1988,10.87377049180328,552.1,12.859045226130652,29025.9,-28473.800000000003
1989,12.095890410958903,533.7,13.758095238095237,27464.9,-26931.2
1990,12.002479338842974,425.4,13.839364303178485,28453.8,-28028.399999999998
1991,10.711506849315068,533.2,12.633898305084744,27365.7,-26832.5
1992,11.228142076502731,649.4,12.942822384428224,30809.3,-30159.899999999998
1993,10.854794520547944,613.9,12.530266343825666,30325.7,-29711.8
1994,11.72054794520548,630.8,13.106730769230769,31749.3,-31118.5
1995,11.890384615384615,539.2,13.8027027027027,26349.7,-25810.5
1996,10.550819672131148,420.8,12.256926952141058,24921.2,-24500.4
1997,12.043835616438356,401.6,13.72344139650873,26654.0,-26252.4
1998,11.66191780821918,685.1,13.192345679012345,32888.9,-32203.800000000003
1999,11.953424657534246,662.1,13.671813725490196,32028.9,-31366.800000000003
2000,11.582513661202183,820.4,13.209273182957393,34942.7,-34122.299999999996
2001,11.33945205479452,705.3,12.925980392156864,28606.4,-27901.100000000002
2002,12.084383561643836,786.7,13.496446700507615,32729.2,-31942.5
2003,12.026795580110496,475.9,13.900728155339806,24761.4,-24285.5
2004,11.868579234972676,619.7,13.482835820895524,30183.0,-29563.3
2005,11.829589041095891,450.0,13.416103896103897,26815.8,-26365.8
2012,11.329781420765029,707.4,12.971098265895954,30654.9,-29947.5
2013,10.92065868263473,478.7,12.912968299711816,24434.9,-23956.2
2014,12.659999999999998,864.0,14.087106017191976,29064.0,-28200.0
2015,12.107417582417584,562.0,13.686337209302328,25624.4,-25062.4
2016,11.919125683060107,590.6,13.582234957020058,25003.6,-24413.0
2017,12.17445054945055,572.2,13.727793696275072,25332.6,-24760.399999999998
