Year,Total_Rainfall,Rainfall_Anomaly
1979,684.7,82.40303030303039
1980,588.1,-14.196969696969632
1981,679.6,77.30303030303037
1982,649.8,47.5030303030303
1983,535.0,-67.29696969696965
1984,641.7,39.40303030303039
1985,526.3,-75.9969696969697
1986,637.0,34.703030303030346
1987,653.4,51.10303030303032
1988,552.1,-50.19696969696963
1989,533.7,-68.59696969696961
1990,425.4,-176.89696969696968
1991,533.2,-69.09696969696961
1992,649.4,47.10303030303032
1993,613.9,11.603030303030323
1994,630.8,28.5030303030303
1995,539.2,-63.09696969696961
1996,420.8,-181.49696969696964
1997,401.6,-200.69696969696963
1998,685.1,82.80303030303037
1999,662.1,59.80303030303037
2000,820.4,218.10303030303032
2001,705.3,103.0030303030303
2002,786.7,184.4030303030304
2003,475.9,-126.39696969696968
2004,619.7,17.40303030303039
2005,450.0,-152.29696969696965
2012,707.4,105.10303030303032
2013,478.7,-123.59696969696967
2014,864.0,261.70303030303035
2015,562.0,-40.296969696969654
2016,590.6,-11.696969696969632
2017,572.2,-30.09696969696961
